timestamp(ms),TotalValid,TotalErrors,AverageRAWResult,AverageDistance,Distance,RSSI,
"1750603064.434",,,,"0",,,
"1750603065.141","0","5","0","0",,,
"1750603065.846","0","5","0",,,,
"1750603065.847",,,,"0",,,
"1750603066.553","0","5","0","0",,,
"1750603067.26","0","5","0",,,,
"1750603067.264",,,,"0",,,
"1750603067.967","0","5","0","0",,,
"1750603068.674","0","5","0",,,,
"1750603068.675",,,,"0",,,
"1750603069.379","0",,,,,,
"1750603069.38",,"5","0","0",,,
"1750603070.105","0","5",,,,,
"1750603070.106",,,"0","0",,,
"1750603070.793","0","5",,,,,
"1750603070.794",,,"0","0",,,
"1750603071.5","0","5","0","0",,,
"1750603072.207","0","5","0","0",,,
"1750603072.913","0","5","0",,,,
"1750603072.914",,,,"0",,,
"1750603073.622","0","5","0","0",,,
"1750603074.326","0",,,,,,
"1750603074.327",,"5","0","0",,,
"1750603075.033","0","5","0","0",,,
"1750603075.741","0",,,,,,
"1750603075.742",,"5","0","0",,,
"1750603076.446","0","5","0",,,,
"1750603076.447",,,,"0",,,
"1750603077.155","0","5","0","0",,,
"1750603077.86","0","5","0","0",,,
"1750603078.568","0","5","0","0",,,
"1750603079.273","0","5","0","0",,,
"1750603079.98","0","5","0",,,,
"1750603079.981",,,,"0",,,
