seconds, altitude, temp,volts
31.65,1210,69.3F,8.2
31.7,1205,69.3F,8.2
31.75,1202,69.3F,8.2
31.8,1200,69.3F,8.2
31.85,1197,69.3F,8.2
31.9,1192,69.3F,8.2
31.95,1189,69.3F,8.2
32,1188,69.3F,8.2
32.05,1184,69.3F,8.2
32.1,1184,69.3F,8.2
32.15,1181,69.3F,8.2
32.2,1178,69.3F,8.2
32.25,1177,69.3F,8.2
32.3,1176,69.3F,8.2
32.35,1171,69.3F,8.2
32.4,1169,69.3F,8.2
32.45,1169,69.3F,8.2
32.5,1165,69.3F,8.2
32.55,1163,69.3F,8.2
32.6,1162,69.3F,8.2
32.65,1161,69.3F,8.2
32.7,1157,69.3F,8.2
32.75,1155,69.3F,8.2
32.8,1153,69.3F,8.2
32.85,1149,69.3F,8.2
32.9,1147,69.3F,8.2
32.95,1146,69.3F,8.2
33,1141,69.3F,8.2
33.05,1139,69.3F,8.2
33.1,1138,69.3F,8.2
33.15,1133,69.3F,8.2
33.2,1132,69.3F,8.2
33.25,1128,69.3F,8.2
33.3,1124,69.3F,8.2
33.35,1122,69.3F,8.2
33.4,1120,69.3F,8.2
33.45,1116,69.3F,8.2
33.5,1115,69.3F,8.2
33.55,1111,69.3F,8.2
33.6,1111,69.3F,8.2
33.65,1108,69.3F,8.2
33.7,1105,69.3F,8.2
33.75,1101,69.3F,8.2
33.8,1101,69.3F,8.2
33.85,1097,69.3F,8.2
33.9,146,69.3F,8.2
33.95,-161,69.3F,8.2
34,1061,69.3F,8.2
34.05,1093,69.3F,8.2
34.1,1067,69.3F,8.2
34.15,1082,69.3F,8.2
34.2,1083,69.3F,8.2
34.25,1083,69.3F,8.2
34.3,1081,69.4F,8.2
34.35,1078,69.4F,8.2
34.4,1076,69.4F,8.2
34.45,1075,69.4F,8.2
34.5,1072,69.4F,8.2
34.55,1068,69.4F,8.2
34.6,1067,69.4F,8.2
34.65,1063,69.4F,8.2
34.7,1060,69.4F,8.2
34.75,1058,69.4F,8.2
34.8,1056,69.4F,8.2
34.85,1054,69.4F,8.2
34.9,1055,69.4F,8.2
34.95,1053,69.4F,8.2
35,1054,69.4F,8.2
35.05,1055,69.4F,8.2
35.1,1062,69.4F,8.2
35.15,1059,69.4F,8.2
35.2,1056,69.4F,8.2
35.25,1054,69.4F,8.2
35.3,1046,69.4F,8.2
35.35,1037,69.4F,8.2
35.4,1030,69.4F,8.2
35.45,1029,69.4F,8.2
35.5,1025,69.4F,8.2
35.55,1026,69.4F,8.2
35.6,1026,69.4F,8.2
35.65,1025,69.4F,8.2
35.7,1024,69.4F,8.2
35.75,1022,69.4F,8.2
35.8,1020,69.4F,8.2
35.85,1019,69.4F,8.2
35.9,1018,69.4F,8.2
35.95,1016,69.4F,8.2
36,1014,69.4F,8.2
36.05,1013,69.4F,8.2
36.1,1011,69.4F,8.2
36.15,1009,69.4F,8.2
36.2,1007,69.4F,8.2
36.25,1006,69.4F,8.2
36.3,1004,69.4F,8.2
36.35,1004,69.4F,8.2
36.4,1003,69.4F,8.2
36.45,1001,69.4F,8.2
36.5,1002,69.4F,8.2
36.55,1005,69.4F,8.2
36.6,997,69.4F,8.2
36.65,997,69.4F,8.2
36.7,996,69.4F,8.2
36.75,995,69.4F,8.2
36.8,991,69.4F,8.2
36.85,991,69.4F,8.2
36.9,992,69.4F,8.2
36.95,989,69.4F,8.2
37,988,69.4F,8.2
37.05,987,69.4F,8.2
37.1,984,69.4F,8.2
37.15,983,69.4F,8.2
37.2,982,69.4F,8.2
37.25,979,69.4F,8.2
37.3,980,69.4F,8.2
37.35,979,69.4F,8.2
37.4,977,69.4F,8.2
37.45,973,69.4F,8.2
37.5,971,69.4F,8.2
37.55,970,69.4F,8.2
37.6,968,69.4F,8.2
37.65,968,69.4F,8.2
37.7,967,69.4F,8.2
37.75,964,69.4F,8.2
37.8,962,69.4F,8.2
37.85,960,69.4F,8.2
37.9,959,69.4F,8.2
37.95,956,69.4F,8.2
38,955,69.4F,8.2
38.05,956,69.4F,8.2
38.1,953,69.4F,8.2
38.15,953,69.4F,8.2
38.2,951,69.4F,8.2
38.25,949,69.5F,8.2
38.3,951,69.5F,8.2
38.35,949,69.5F,8.2
38.4,948,69.5F,8.2
38.45,946,69.5F,8.2
38.5,944,69.5F,8.2
38.55,941,69.5F,8.2
38.6,941,69.5F,8.2
38.65,939,69.5F,8.2
38.7,940,69.5F,8.2
38.75,939,69.5F,8.2
38.8,935,69.5F,8.2
38.85,933,69.5F,8.2
38.9,932,69.5F,8.2
38.95,932,69.5F,8.2
39,933,69.5F,8.2
39.05,929,69.5F,8.2
39.1,928,69.5F,8.2
39.15,926,69.5F,8.2
39.2,925,69.5F,8.2
39.25,922,69.5F,8.2
39.3,921,69.5F,8.2
39.35,918,69.5F,8.2
39.4,917,69.5F,8.2
39.45,916,69.5F,8.2
39.5,913,69.5F,8.2
39.55,913,69.5F,8.2
39.6,913,69.5F,8.2
39.65,910,69.5F,8.2
39.7,910,69.5F,8.2
39.75,907,69.5F,8.2
39.8,907,69.5F,8.2
39.85,906,69.5F,8.2
39.9,904,69.5F,8.2
39.95,903,69.5F,8.2
40,903,69.5F,8.2
40.05,901,69.5F,8.2
40.1,899,69.5F,8.2
40.15,898,69.5F,8.2
40.2,896,69.5F,8.2
40.25,892,69.5F,8.2
40.3,892,69.5F,8.2
40.35,889,69.5F,8.2
40.4,889,69.5F,8.2
40.45,887,69.5F,8.2
40.5,884,69.5F,8.2
40.55,885,69.5F,8.2
40.6,885,69.5F,8.2
40.65,882,69.5F,8.2
40.7,881,69.5F,8.2
40.75,880,69.5F,8.2
40.8,880,69.5F,8.2
40.85,879,69.5F,8.2
40.9,878,69.5F,8.2
40.95,876,69.5F,8.2
41,874,69.5F,8.2
41.05,875,69.5F,8.2
41.1,875,69.5F,8.2
41.15,873,69.5F,8.2
41.2,871,69.5F,8.2
41.25,867,69.5F,8.2
41.3,866,69.5F,8.2
41.35,864,69.5F,8.2
41.4,864,69.5F,8.2
41.45,863,69.5F,8.2
41.5,861,69.5F,8.2
41.55,859,69.5F,8.2
41.6,858,69.5F,8.2
41.65,857,69.5F,8.2
41.7,856,69.5F,8.2
41.75,852,69.5F,8.2
41.8,854,69.5F,8.2
41.85,850,69.5F,8.2
41.9,848,69.5F,8.2
41.95,846,69.5F,8.2
42,846,69.5F,8.2
42.05,845,69.5F,8.2
42.1,843,69.5F,8.2
42.15,842,69.5F,8.2
42.2,841,69.5F,8.2
42.25,841,69.5F,8.2
42.3,838,69.5F,8.2
42.35,837,69.5F,8.2
42.4,836,69.5F,8.2
42.45,835,69.5F,8.2
42.5,833,69.5F,8.2
42.55,831,69.5F,8.2
42.6,831,69.5F,8.2
42.65,830,69.5F,8.2
42.7,827,69.4F,8.2
42.75,826,69.4F,8.2
42.8,823,69.4F,8.2
42.85,822,69.4F,8.2
42.9,822,69.4F,8.2
42.95,820,69.4F,8.2
43,818,69.4F,8.2
43.05,816,69.4F,8.2
43.1,813,69.4F,8.2
43.15,812,69.4F,8.2
43.2,809,69.4F,8.2
43.25,808,69.4F,8.2
43.3,805,69.4F,8.2
43.35,806,69.4F,8.2
43.4,805,69.4F,8.2
43.45,803,69.5F,8.2
43.5,801,69.5F,8.2
