timestamp(ms),Data age,State,Altitude,Verticalvel,RSSI,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Pitch,Yaw,Roll,Uptime,
"1721516651.178",,"0","1.3",,,,,,,,,,,,,
"1721516651.179",,,,"1.27","-81","0.52",,,,,,,,,,
"1721516651.18",,,,,,,"-0.18","9.9","-0.01","-0.01","0",,,,,
"1721516651.181",,,,,,,,,,,,"1.51","3.13","1.84","1487300",
"1721516651.245","0.058",,,,,,,,,,,,,,,
"1721516651.341","0.159",,,,,,,,,,,,,,,
"1721516651.442","0.26",,,,,,,,,,,,,,,
"1721516651.543","0.361",,,,,,,,,,,,,,,
"1721516651.644","0.462",,,,,,,,,,,,,,,
"1721516651.745","0.563",,,,,,,,,,,,,,,
"1721516651.846","0.664",,,,,,,,,,,,,,,
"1721516651.947","0.765",,,,,,,,,,,,,,,
"1721516652.048","0.866",,,,,,,,,,,,,,,
"1721516652.149","0.967",,,,,,,,,,,,,,,
"1721516652.181",,"0","1.4",,,,,,,,,,,,,
"1721516652.182",,,,"1.29","-80","0.52",,,,,,,,,,
"1721516652.183",,,,,,,"-0.2","9.87","0",,,,,,,
"1721516652.184",,,,,,,,,,"0.03","-0.01","1.51","3.13",,,
"1721516652.185",,,,,,,,,,,,,,"1.84","1488304",
"1721516652.25","0.065",,,,,,,,,,,,,,,
"1721516652.352","0.166",,,,,,,,,,,,,,,
"1721516652.452","0.267",,,,,,,,,,,,,,,
"1721516652.553","0.368",,,,,,,,,,,,,,,
"1721516652.654","0.469",,,,,,,,,,,,,,,
"1721516652.755","0.57",,,,,,,,,,,,,,,
"1721516652.857","0.671",,,,,,,,,,,,,,,
"1721516652.957","0.772",,,,,,,,,,,,,,,
"1721516653.059","0.873",,,,,,,,,,,,,,,
"1721516653.159","0.974",,,,,,,,,,,,,,,
"1721516653.26","1.075",,,,,,,,,,,,,,,
"1721516653.361","1.176",,,,,,,,,,,,,,,
"1721516653.463","1.277",,,,,,,,,,,,,,,
"1721516653.563","1.378",,,,,,,,,,,,,,,
"1721516653.664","1.479",,,,,,,,,,,,,,,
"1721516653.765","1.58",,,,,,,,,,,,,,,
"1721516653.866","1.681",,,,,,,,,,,,,,,
"1721516653.967","1.782",,,,,,,,,,,,,,,
"1721516654.068","1.883",,,,,,,,,,,,,,,
"1721516654.112",,"0","1.2","1.27",,,,,,,,,,,,
"1721516654.113",,,,,"-81","0.49","-0.19",,,,,,,,,
"1721516654.114",,,,,,,,"9.89","0","0.01","0","1.51",,,,
"1721516654.115",,,,,,,,,,,,,"3.13","1.85","1489276",
"1721516654.169","0.054",,,,,,,,,,,,,,,
"1721516654.27","0.155",,,,,,,,,,,,,,,
"1721516654.371","0.256",,,,,,,,,,,,,,,
"1721516654.472","0.357",,,,,,,,,,,,,,,
"1721516654.574","0.458",,,,,,,,,,,,,,,
"1721516654.674","0.559",,,,,,,,,,,,,,,
"1721516654.775","0.66",,,,,,,,,,,,,,,
"1721516654.876","0.761",,,,,,,,,,,,,,,
"1721516654.977","0.862",,,,,,,,,,,,,,,
"1721516655.078","0.963",,,,,,,,,,,,,,,
"1721516655.114",,"0","1.2",,,,,,,,,,,,,
"1721516655.115",,,,"1.27","-81","0.52",,,,,,,,,,
"1721516655.116",,,,,,,"-0.15","9.92","0",,,,,,,
"1721516655.117",,,,,,,,,,"0","0.01","1.51",,,,
"1721516655.118",,,,,,,,,,,,,"3.14","1.85","1491236",
"1721516655.179","0.061",,,,,,,,,,,,,,,
"1721516655.28","0.162",,,,,,,,,,,,,,,
"1721516655.381","0.263",,,,,,,,,,,,,,,
"1721516655.482","0.364",,,,,,,,,,,,,,,
"1721516655.583","0.465",,,,,,,,,,,,,,,
"1721516655.684","0.566",,,,,,,,,,,,,,,
"1721516655.785","0.667",,,,,,,,,,,,,,,
"1721516655.886","0.768",,,,,,,,,,,,,,,
"1721516655.987","0.869",,,,,,,,,,,,,,,
"1721516656.089","0.97",,,,,,,,,,,,,,,
"1721516656.125",,"0","1.2","1.26","-80","0.48","-0.19","9.87","0.03","0.03",,,,,,
