timestamp(ms),navlooprate,prof_period_us,prof_overruns,prof_loop_work_avg_us,prof_loop_work_max_us,prof_getsensordata_avg_us,prof_getsensordata_max_us,prof_imu_avg_us,prof_imu_max_us,prof_baro_avg_us,prof_baro_max_us,prof_adxl_avg_us,prof_adxl_max_us,prof_mag_avg_us,prof_mag_max_us,prof_sensor_post_avg_us,prof_sensor_post_max_us,prof_kfrun_avg_us,prof_kfrun_max_us,prof_accel_adjust_avg_us,prof_accel_adjust_max_us,loggingtime_avg_us,loggingtime_max_us,loggingtime_count,
"1779671853.995",,,,,,,,,,,,,,,,,,,,"1171",,,,,
"1779671853.996",,,,,,,,,,,,,,,,,,,,,"1377",,,,
"1779671854.493","92.92247",,,,,,,,,,,,,,,,,,,,,,,,
"1779671854.494",,"10000","39",,,,,,,,,,,,,,,,,,,,,,
"1779671854.495",,,,"10496.191406","12876",,,,,,,,,,,,,,,,,,,,
"1779671854.496",,,,,,"8210.595703","9907","4388.95752",,,,,,,,,,,,,,,,,
"1779671854.497",,,,,,,,,"5340","2170.212646","2713",,,,,,,,,,,,,,
"1779671854.498",,,,,,,,,,,,"902.106384","1326",,,,,,,,,,,,
"1779671854.499",,,,,,,,,,,,,,"681.531921","785","24.595745","80",,,,,,,,
"1779671854.5",,,,,,,,,,,,,,,,,,"2167.702148",,,,,,,
"1779671854.501",,,,,,,,,,,,,,,,,,,"2931","1196.5",,,,,
"1779671854.502",,,,,,,,,,,,,,,,,,,,,"1370",,,,
"1779671855.001","92.972572",,,,,,,,,,,,,,,,,,,,,,,,
"1779671855.002",,"10000","37",,,,,,,,,,,,,,,,,,,,,,
"1779671855.003",,,,"10528.915039","14533","8229.12793",,,,,,,,,,,,,,,,,,,
"1779671855.004",,,,,,,"10187","4394.744629","5760",,,,,,,,,,,,,,,,
"1779671855.005",,,,,,,,,,"2197.106445","2717",,,,,,,,,,,,,,
"1779671855.006",,,,,,,,,,,,"887.51062","1111","680.659546",,,,,,,,,,,
"1779671855.007",,,,,,,,,,,,,,,"915","27.404255","86",,,,,,,,
"1779671855.008",,,,,,,,,,,,,,,,,,"2148.638184","2930","1253.400024","1389",,,,
"1779671855.507","93.152718","10000",,,,,,,,,,,,,,,,,,,,,,,
"1779671855.508",,,"38",,,,,,,,,,,,,,,,,,,,,,
"1779671855.509",,,,"10511.12793","12275",,,,,,,,,,,,,,,,,,,,
"1779671855.51",,,,,,"8226.723633","9761","4375.468262",,,,,,,,,,,,,,,,,
"1779671855.511",,,,,,,,,"5643","2210.574463","2767",,,,,,,,,,,,,,
"1779671855.512",,,,,,,,,,,,"880.340454","1068",,,,,,,,,,,,
"1779671855.513",,,,,,,,,,,,,,"692.872314","911","26.914894","84",,,,,,,,
"1779671855.514",,,,,,,,,,,,,,,,,,"2143.276611","2853",,,,,,
"1779671855.515",,,,,,,,,,,,,,,,,,,,"1154.800049","1312",,,,
"1779671856.008","91.893524","10000","41",,,,,,,,,,,,,,,,,,,,,,
"1779671856.009",,,,"10617.347656","11900",,,,,,,,,,,,,,,,,,,,
"1779671856.01",,,,,,"8276.93457","9525",,,,,,,,,,,,,,,,,,
"1779671856.011",,,,,,,,"4419","5613","2198.913086",,,,,,,,,,,,,,,
"1779671856.012",,,,,,,,,,,"2757","896.239136","1089",,,,,,,,,,,,
"1779671856.013",,,,,,,,,,,,,,"690.195679","922","27.956522","81",,,,,,,,
"1779671856.014",,,,,,,,,,,,,,,,,,"2184.630371","2803",,,,,,
"1779671856.015",,,,,,,,,,,,,,,,,,,,"1266.400024","1482",,,,
"1779671856.517","92.247009","10000","40",,,,,,,,,,,,,,,,,,,,,,
"1779671856.519",,,,"10583.382812","13267",,,,,,,,,,,,,,,,,,,,
"1779671856.52",,,,,,"8276.021484","10539",,,,,,,,,,,,,,,,,,
"1779671856.521",,,,,,,,"4428.17041","6103",,,,,,,,,,,,,,,,
"1779671856.522",,,,,,,,,,"2186.276611","2674","894.936157","1067",,,,,,,,,,,,
"1779671856.523",,,,,,,,,,,,,,"697.23407","950",,,,,,,,,,
"1779671856.524",,,,,,,,,,,,,,,,"25.531916","93","2176.531982",,,,,,,
"1779671856.525",,,,,,,,,,,,,,,,,,,"2942","1299.25",,,,,
"1779671856.526",,,,,,,,,,,,,,,,,,,,,"1749",,,,
"1779671857.025","92.625008",,,,,,,,,,,,,,,,,,,,,,,,
"1779671857.026",,"10000","44",,,,,,,,,,,,,,,,,,,,,,
"1779671857.027",,,,"10545.063477","13902",,,,,,,,,,,,,,,,,,,,
"1779671857.028",,,,,,"8222.361328","9622",,,,,,,,,,,,,,,,,,
"1779671857.029",,,,,,,,"4401.595703","5349","2178.680908","2597",,,,,,,,,,,,,,
"1779671857.03",,,,,,,,,,,,"894.425537","1171",,,,,,,,,,,,
"1779671857.031",,,,,,,,,,,,,,"683.127686","957","23.723404",,,,,,,,,
"1779671857.032",,,,,,,,,,,,,,,,,"73","2179.361816","2742",,,,,,
"1779671857.033",,,,,,,,,,,,,,,,,,,,"1184.199951","1480",,,,
"1779671857.531","93.116631",,,,,,,,,,,,,,,,,,,,,,,,
"1779671857.532",,"10000","41",,,,,,,,,,,,,,,,,,,,,,
"1779671857.533",,,,"10511.702148",,,,,,,,,,,,,,,,,,,,,
"1779671857.534",,,,,"12019","8224.723633","9390",,,,,,,,,,,,,,,,,,
"1779671857.535",,,,,,,,"4403.808594","5399","2178.489258",,,,,,,,,,,,,,,
"1779671857.536",,,,,,,,,,,"2666","882.48938","1238",,,,,,,,,,,,
"1779671857.537",,,,,,,,,,,,,,"692.297852","985",,,,,,,,,,
"1779671857.538",,,,,,,,,,,,,,,,"24.595745","72","2136.148926",,,,,,,
"1779671857.539",,,,,,,,,,,,,,,,,,,"2811","1252.199951",,,,,
"1779671857.54",,,,,,,,,,,,,,,,,,,,,"1488",,,,
"1779671858.037","92.978455",,,,,,,,,,,,,,,,,,,,,,,,
"1779671858.038",,"10000","38",,,,,,,,,,,,,,,,,,,,,,
"1779671858.039",,,,"10503.745117","11967",,,,,,,,,,,,,,,,,,,,
"1779671858.04",,,,,,"8221.254883","9216","4384.340332",,,,,,,,,,,,,,,,,
"1779671858.041",,,,,,,,,"5284","2172.276611","2601",,,,,,,,,,,,,,
"1779671858.042",,,,,,,,,,,,"895.446838","1096","702.23407",,,,,,,,,,,
"1779671858.043",,,,,,,,,,,,,,,"1052","27.085106","91",,,,,,,,
"1779671858.044",,,,,,,,,,,,,,,,,,"2136.02124","2722",,,,,,
"1779671858.045",,,,,,,,,,,,,,,,,,,,"1211.199951","1398",,,,
"1779671858.543","92.801224",,,,,,,,,,,,,,,,,,,,,,,,
"1779671858.544",,"10000","38",,,,,,,,,,,,,,,,,,,,,,
"1779671858.545",,,,"10515.191406","11957",,,,,,,,,,,,,,,,,,,,
"1779671858.546",,,,,,"8239.893555","9151","4407.233887",,,,,,,,,,,,,,,,,
"1779671858.547",,,,,,,,,"5425","2183.255371","2539",,,,,,,,,,,,,,
"1779671858.548",,,,,,,,,,,,"896.957458","1174","684.48938",,,,,,,,,,,
"1779671858.549",,,,,,,,,,,,,,,"868","24.957447","89",,,,,,,,
"1779671858.55",,,,,,,,,,,,,,,,,,"2125.872314","2805",,,,,,
"1779671858.551",,,,,,,,,,,,,,,,,,,,"1251.400024","1432",,,,
"1779671859.049","93.225838","10000","40",,,,,,,,,,,,,,,,,,,,,,
"1779671859.05",,,,"10496.489258","12482",,,,,,,,,,,,,,,,,,,,
"1779671859.051",,,,,,"8237.276367","9526",,,,,,,,,,,,,,,,,,
"1779671859.052",,,,,,,,"4390.915039","5238",,,,,,,,,,,,,,,,
"1779671859.053",,,,,,,,,,"2203.468018","2548","885.617004","1088",,,,,,,,,,,,
"1779671859.054",,,,,,,,,,,,,,"689.595764","906",,,,,,,,,,
"1779671859.055",,,,,,,,,,,,,,,,"26.106382","79","2133.319092","2891",,,,,,
"1779671859.056",,,,,,,,,,,,,,,,,,,,"1263.5",,,,,
"1779671859.057",,,,,,,,,,,,,,,,,,,,,"1392",,,,
"1779671859.554","93.064117",,,,,,,,,,,,,,,,,,,,,,,,
"1779671859.555",,"10000","39",,,,,,,,,,,,,,,,,,,,,,
"1779671859.556",,,,"10510.042969","13217",,,,,,,,,,,,,,,,,,,,
"1779671859.557",,,,,,"8184.95752","9084",,,,,,,,,,,,,,,,,,
