timestamp(ms),navlooprate,MP uptime,NAV uptime,MISSIONTIME,accel x,accel y,accel z,mag x,mag y,mag z,accelabs,highaccel x,highaccel y,highaccel z,highaccelabs,accelworld x,accelworld y,accelworld z,gyro x,gyro y,gyro z,altitude,verticalvel,filtered vvel,filtered accel,orientation pitch,orientation yaw,orientation roll,maxrecorded alt,filtered alt,state ,altitudeagl ,battery vol ,baro temp ,pyro cont ,pyros fired ,pyro state,covarience x,covarience y,covarience z,
"1779660680.221",,,,,,,,,"-46.316864","75.299622","9.951559","3.844207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.223",,,,,,,,,,,,,"-8.16894","-11.53262","14.646189",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.225",,,,,,,,,,,,,,,,"-0.004983","-0.027661","0.15052",,,,,,,,,,,,,,,,,,,,,,,
"1779660680.227",,,,,,,,,,,,,,,,,,,"0.76809","1.504705","-0.130721","1970.547607",,,,,,,,,,,,,,,,,,,
"1779660680.228",,,,,,,,,,,,,,,,,,,,,,,"1.036783","1.380275","0.142516",,,,,,,,,,,,,,,,
"1779660680.229",,,,,,,,,,,,,,,,,,,,,,,,,,"10.14826","-4.058203","-38.656258",,,,,,,,,,,,,
"1779660680.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.83487","0.614904","0",,,,,,,,,,
"1779660680.231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.458862","8.5","24.261995",,,,,,,
"1779660680.232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,
"1779660680.233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0.000957",,,
"1779660680.234",,"17062","17062","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000205","0.000335",
"1779660680.236",,,,,"-6.209942","7.568305","-1.742776","7.863198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.238",,,,,,,,,"-45.513008","74.831924","9.943836","3.363681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.239",,,,,,,,,,,,,"-7.207888","-12.493672","14.810802",,,,,,,,,,,,,,,,,,,,,,,,,,
