rkf,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,imutemp,pressure,altitude,bmptemp,verticalvelocity,apoogee,state,uptime(milliseconds),errorflag
0,    2.4540,    0.3778,    9.5582,    2.2218,    0.6360,   -1.4369,  -11.7914,   46.2545,   89.2391,   39.3750,87775.7578,    0.5517,   42.1100,   -0.6156,    0.8948,0,311527,1
0,    2.4284,    0.3219,    9.5810,    0.8814,   -1.8218,    0.2559,  -11.6506,   46.4388,   89.9607,   39.5000,87770.3516,    1.0571,   42.1847,   -0.1757,    1.1415,0,316546,1
0,    2.4287,    0.3013,    9.5753,    0.3556,   -1.1499,    0.3774,   -9.9310,   46.5183,   90.7797,   39.5000,87771.5156,    0.9479,   42.2641,    0.5298,    0.9802,0,321568,1
0,    2.4144,    0.2888,    9.5762,   -0.9275,    1.3017,    0.2025,   -9.0820,   47.1748,   90.9159,   39.6250,87772.9297,    0.8154,   42.3295,    0.3434,    0.9094,0,326586,1
0,    2.4314,    0.3139,    9.6053,   -0.9340,   -0.0411,   -1.0175,   -8.6544,   47.9964,   92.6305,   39.6250,87772.1328,    0.8902,   42.4182,    0.7646,    0.9225,0,331605,1
0,    2.4092,    0.3257,    9.5482,   -2.1306,    0.1979,    3.1959,   -8.6193,   49.8857,   92.4799,   39.7500,87772.0313,    0.8998,   42.4836,    0.4601,    0.8998,0,336623,1
0,    2.3994,    0.2908,    9.5938,   -0.0305,    1.8876,   -0.4782,   -9.1289,   50.9222,   92.7065,   39.8750,87772.7813,    0.8302,   42.5583,   -0.0264,    0.8302,0,341643,1
0,    2.4199,    0.2882,    9.5796,    0.5527,   -0.5931,    0.5411,  -10.1362,   51.8074,   94.0414,   39.8750,87773.4375,    0.7685,   42.6283,    0.1747,    0.8856,0,346662,1
0,    2.4312,    0.2952,    9.5538,    2.1311,   -0.6170,    0.3465,  -10.0566,   51.6516,   94.8760,   40.0000,87772.5703,    0.8495,   42.6983,    0.7162,    0.9145,0,351680,1
0,    2.4292,    0.3482,    9.5933,    0.1180,    0.6386,    0.4378,  -10.3164,   53.2984,   94.8523,   40.0000,87772.3594,    0.8692,   42.7684,    0.0000,    0.8692,0,356698,1
0,    2.4707,    0.3228,    9.5665,    2.1840,    0.5131,   -0.6103,  -11.2386,   54.2380,   96.1002,   40.1250,87773.6484,    0.7481,   42.8431,   -0.1273,    0.9259,0,361717,1
0,    2.4190,    0.2972,    9.5869,   -0.6732,   -0.5875,   -0.5215,  -10.2212,   55.0261,   95.6760,   40.1250,87770.9688,    0.9989,   42.9085,    0.5782,    0.9989,0,366735,1
0,    2.4206,    0.3205,    9.5895,   -1.1624,   -1.5898,   -0.5175,  -10.3250,   54.9834,   96.0610,   40.1250,87773.9141,    0.7237,   42.9085,   -0.0545,    1.0397,1,368152,1
0,    2.4485,    0.3298,    9.5984,   -0.2147,    0.8070,   -0.2267,  -10.3030,   55.0677,   95.9069,   40.1250,87774.6641,    0.6535,   42.8898,    0.0231,    1.0397,1,368266,1
0,    2.4068,    0.3123,    9.5715,   -0.9706,    0.0961,   -0.5949,  -10.1518,   55.1622,   95.8241,   40.1250,87775.2656,    0.5970,   42.8851,    0.2514,    1.0397,1,368379,1
0,    2.4339,    0.3161,    9.5618,   -0.3800,   -0.4675,   -0.0224,  -10.3084,   55.1099,   95.6891,   40.1250,87774.9688,    0.6253,   42.8758,   -0.1011,    1.0397,1,368492,1
