checksum, eulerx, eulery, euler z, accelx, accely, accel z, gyro x, gyro y, gyro z, altitude, vvel, lyra uptime, errorflag MP, errorflag NAV, state, uptime reciver, dataage,checksum2
AB,90.527334,-178.762826,-24.637186,-0.100000,-0.200000,9.950000,0.000000,0.010000,0.000000,0.020000,-0.070000,74691,1,1,0,1102589,3,CD
AB,90.527334,-178.762826,-24.637186,-0.110000,-0.200000,9.940000,0.000000,0.010000,0.000000,0.010000,0.270000,75227,1,1,0,1103126,4,CD
AB,90.527334,-178.762826,-25.210143,-0.110000,-0.210000,9.940000,-0.010000,0.010000,0.000000,0.000000,-0.330000,75764,1,1,0,1103663,4,CD
AB,90.527334,-178.762826,-25.210143,-0.090000,-0.190000,9.960000,0.000000,0.000000,0.000000,0.020000,-0.350000,76300,1,1,0,1104199,4,CD
AB,90.527334,-178.762826,-25.210143,-0.100000,-0.210000,9.940000,0.010000,-0.020000,-0.010000,0.000000,-0.130000,76836,1,1,0,1104735,4,CD
AB,90.527334,-178.762826,-25.783100,-0.090000,-0.200000,9.930000,0.000000,0.000000,0.000000,0.010000,0.490000,77372,1,1,0,1105271,4,CD
AB,90.527334,-178.762826,-25.783100,-0.090000,-0.210000,9.940000,0.000000,-0.020000,-0.010000,0.010000,-0.230000,77908,1,1,0,1105807,4,CD
AB,90.527334,-178.762826,-25.783100,-0.100000,-0.200000,9.950000,0.000000,0.020000,0.000000,0.030000,0.360000,78445,1,1,0,1106343,3,CD
AB,90.527334,-178.762826,-25.783100,-0.090000,-0.190000,9.950000,0.000000,-0.020000,-0.010000,0.030000,0.770000,78981,1,1,0,1106880,3,CD
AB,90.527334,-178.762826,-25.783100,-0.090000,-0.200000,9.930000,0.000000,0.000000,0.000000,0.000000,-1.040000,79517,1,1,0,1107415,3,CD
AB,90.527334,-178.762826,-26.356059,-0.100000,-0.190000,9.930000,0.000000,0.030000,-0.010000,0.020000,0.130000,80053,1,1,0,1107952,3,CD
AB,90.527334,-178.762826,-26.356059,-0.070000,-0.210000,9.930000,0.000000,0.000000,0.000000,0.000000,-0.690000,80590,1,1,0,1108489,3,CD
AB,90.527334,-178.762826,-26.356059,-0.100000,-0.200000,9.930000,0.000000,-0.030000,0.000000,0.000000,-0.550000,81126,1,1,0,1109024,3,CD
