checksum, eulerx, eulery, euler z, accelx, accely, accel z, gyro x, gyro y, gyro z, altitude, vvel, lyra uptime, errorflag MP, errorflag NAV, state, uptime reciver, dataage,checksum2
AB,88.235498,-179.908754,113.445645,0.180000,-0.080000,9.950000,0.000000,0.000000,0.000000,0.050000,-0.170000,588900,1,1,0,84339,3,CD
AB,88.235498,179.335796,112.872687,0.190000,-0.090000,9.940000,0.000000,-0.010000,0.000000,0.080000,0.440000,589436,1,1,0,84875,4,CD
AB,88.235498,179.335796,112.872687,0.190000,-0.080000,9.930000,0.000000,0.030000,0.000000,0.070000,0.090000,589973,1,1,0,85412,3,CD
AB,88.235498,179.335796,112.872687,0.200000,-0.090000,9.940000,-0.010000,0.000000,0.000000,0.060000,-0.280000,590509,1,1,0,85948,3,CD
AB,88.235498,179.908754,112.872687,0.200000,-0.100000,9.940000,0.000000,0.000000,0.000000,0.070000,0.400000,591046,1,1,0,86485,3,CD
AB,88.808456,179.908754,112.872687,0.190000,-0.070000,9.930000,0.000000,0.010000,-0.010000,0.070000,0.700000,591582,1,1,0,87021,4,CD
AB,88.808456,179.335796,112.872687,0.210000,-0.070000,9.950000,0.000000,0.010000,0.010000,0.070000,0.260000,592118,1,1,0,87557,3,CD
AB,88.235498,179.335796,112.872687,0.200000,-0.090000,9.940000,-0.010000,0.010000,0.000000,0.050000,-0.220000,592654,1,1,0,88093,3,CD
AB,88.235498,-179.335796,112.872687,0.190000,-0.100000,9.910000,0.000000,-0.040000,0.000000,0.070000,0.000000,593190,1,1,0,88629,4,CD
AB,88.235498,-179.908754,112.872687,0.180000,-0.090000,9.930000,0.000000,0.000000,-0.010000,0.060000,0.460000,593727,1,1,0,89166,4,CD
AB,88.235498,179.908754,112.872687,0.180000,-0.120000,9.930000,0.000000,0.030000,0.000000,0.080000,0.940000,594262,1,1,0,89701,3,CD
AB,88.235498,179.908754,112.872687,0.170000,-0.080000,9.950000,0.000000,0.000000,0.000000,0.080000,0.070000,594798,1,1,0,90237,3,CD
AB,88.235498,-179.335796,112.872687,0.200000,-0.080000,9.940000,0.010000,-0.010000,-0.010000,0.070000,-0.350000,595334,1,1,0,90773,4,CD
AB,88.235498,179.908754,112.872687,0.170000,-0.100000,9.940000,0.000000,0.010000,0.000000,0.080000,0.070000,595870,1,1,0,91309,4,CD
AB,87.662541,178.762826,104.278322,0.140000,-0.260000,19.080000,0.020000,-0.040000,-0.040000,0.070000,0.210000,596406,1,1,0,91845,3,CD
